instrumento,bjd,vrad,svrad
HAMILTON,2451752.885758783,110.91,5.19
HIRES,2451754.980000306,39.0,4.3
HIRES-pre04,2451754.9802783187,32.64,1.525226
HIRES,2451754.9802783187,27.1,3.0
HIRES,2451754.9802803188,32.4,1.51
HIRES,2451755.0240023816,29.6,3.7
HIRES,2451755.024432402,24.49,1.61
HIRES-pre04,2451755.0244354024,25.43,1.594719
HIRES-pre04,2451755.0297016497,20.78,1.664018
HIRES,2451755.0297026495,19.48,1.61
HIRES,2451755.0300026634,22.4,4.6
HIRES,2451755.046003413,25.1,3.8
HIRES-pre04,2451755.0463804305,28.86,1.589856
HIRES,2451755.0463834302,27.79,1.55
HIRES,2451755.0580039728,56.8,4.2
HIRES-pre04,2451755.05815198,49.09,1.447827
HIRES,2451755.05815398,48.23,1.57
HIRES-pre04,2451755.07255065,52.45,1.51398
HIRES,2451755.0725546503,53.09,1.67
HIRES,2451755.0730046714,55.2,3.9
HIRES,2451755.0790049504,48.7,3.8
HIRES-pre04,2451755.0793339657,51.3,1.397286
HIRES,2451755.079334966,50.12,1.49
HIRES,2451755.0840051826,42.5,3.5
HIRES,2451755.0844352026,43.85,1.46
HIRES-pre04,2451755.084438203,45.96,1.393591
HIRES-pre04,2451755.0898434534,36.72,1.564453
HIRES,2451755.0898454534,36.58,1.6
HIRES,2451755.0900054607,37.3,4.1
HIRES,2451755.0950056924,33.4,3.8
HIRES,2451755.095405711,31.21,1.55
HIRES-pre04,2451755.095410711,33.93,1.459544
HIRES,2451755.1009659683,15.82,1.51
HIRES-pre04,2451755.100966968,15.53,1.662047
HIRES,2451755.10100597,18.2,3.8
HIRES,2451755.106006201,10.4,4.2
HIRES-pre04,2451755.106453222,6.8,1.337943
HIRES,2451755.106456222,6.99,1.44
HIRES,2451755.1120064785,0.0,3.9
HIRES-pre04,2451755.112402497,-5.0,1.572563
HIRES,2451755.112406497,-6.47,1.54
HIRES,2451755.118006755,-8.4,4.2
HIRES,2451755.1180967595,-8.15,1.39
HIRES-pre04,2451755.1180967595,-8.05,1.475399
HIRES,2451755.1230069855,-19.3,4.2
HIRES-pre04,2451755.123445006,-19.76,1.604203
HIRES,2451755.123447006,-18.7,1.64
HIRES-pre04,2451755.1287452504,-29.05,1.424526
HIRES,2451755.1287472504,-29.96,1.41
HIRES,2451755.129007262,-28.9,4.2
HIRES,2451755.1340074926,-30.6,4.0
HIRES-pre04,2451755.1344055105,-34.02,1.584719
HIRES,2451755.1344075105,-33.99,1.54
HIRES-pre04,2451755.9767827583,-76.28,1.781412
HIRES,2451755.9767827583,-81.9,3.5
HIRES,2451755.9767867583,-78.25,1.67
