instrumento,bjd,vrad,svrad
COR,2451417.710490972,-78.55899149298922,7.0
COR,2451417.7225910807,-91.55899149298922,7.0
COR,2451418.755299763,59.44100850701078,12.0
COR,2451418.767499849,-15.558991492989218,15.0
ELODIE,2451421.4791153334,-75.73697894311728,9.877408
ELODIE,2451421.4791153334,-71.53331964578094,10.0
ELODIE,2451421.491715378,-44.533320645781274,10.0
ELODIE,2451421.491715378,-48.73697994311762,10.009398
ELODIE,2451423.4727198007,48.466672354219995,9.0
ELODIE,2451423.4727198007,44.26301305688183,9.459872
ELODIE,2451423.485219809,41.26301305688183,9.868856
ELODIE,2451423.485219809,45.466672354219995,10.0
COR,2451431.71927596,-74.55899149298922,9.0
COR,2451432.708663961,-7.558991492989219,12.0
COR,2451433.671350911,92.44100850701078,8.0
COR,2451435.619720315,-69.55899149298922,12.0
COR,2451437.6415827107,41.44100850701078,13.0
ELODIE,2451438.4572659144,-72.83704194311714,8.826514
ELODIE,2451438.4572659144,-74.53338264578043,9.0
COR,2451438.6701612994,-81.55899149298922,7.0
COR,2451438.6823610323,-86.55899149298922,7.0
HIRES,2451438.8136562663,-81.2,3.4
HIRES-pre04,2451438.8136562663,-76.43,1.776379
HIRES,2451438.8136582663,-75.1,4.5
HIRES,2451438.8136582663,-73.41,1.81
COR,2451439.6568393353,-11.558991492989218,10.0
COR,2451439.690038561,-0.558991492989219,8.0
COR,2451443.6645358237,47.44100850701078,10.0
COR,2451443.6762354835,50.44100850701078,10.0
COR,2451447.654810363,117.44100850701078,13.0
COR,2451447.6664099614,89.44100850701078,13.0
COR,2451459.646803951,-71.55899149298922,13.0
COR,2451459.6584033635,-51.55899149298922,15.0
COR,2451463.5706982277,-97.55899149298922,12.0
COR,2451463.5822975906,-75.55899149298922,11.0
COR,2451464.550843939,53.44100850701078,9.0
COR,2451464.5624432904,33.44100850701078,9.0
COR,2451465.618883487,83.44100850701078,11.0
COR,2451465.630482817,45.44100850701078,12.0
ELODIE,2451466.3877392295,-72.5334846457804,9.0
ELODIE,2451466.3877392295,-78.53714394311784,9.069432
ELODIE,2451467.362082097,-73.53714794311738,10.211603
ELODIE,2451467.362082097,-67.53348864577994,10.0
COR,2451480.5938077033,-67.55899149298922,13.0
COR,2451481.5313394433,-51.55899149298922,9.0
COR,2451484.591811343,-87.55899149298922,13.0
COR,2451484.603410456,-109.55899149298922,12.0
COR,2451487.5253857584,-24.558991492989218,11.0
COR,2451487.5369848507,-43.55899149298922,11.0
COR,2451488.518707918,-43.55899149298922,12.0
COR,2451488.5303070024,-107.55899149298922,10.0
COR,2451494.545621629,-36.55899149298922,10.0
COR,2451497.530973026,35.44100850701078,10.0
COR,2451497.547671614,49.44100850701078,7.0
COR,2451497.5642702077,16.441008507010782,12.0
COR,2451497.575869224,65.44100850701078,13.0
COR,2451497.58746824,40.44100850701078,15.0
ELODIE,2451507.3488295972,81.36270605688195,10.616363
ELODIE,2451507.3488295972,81.46636535421975,11.0
ELODIE,2451508.2206533644,16.362703056882754,8.29991
ELODIE,2451508.2334522433,21.362703056882754,8.468092
ELODIE,2451508.246651086,27.362703056882754,9.666208
ELODIE,2451508.2590499977,12.362703056882754,8.958163
ELODIE,2451508.271648891,21.362703056882754,8.496838
ELODIE,2451508.2840478006,18.362703056882754,8.627824
ELODIE,2451508.2966466914,15.362702056882416,8.685366
ELODIE,2451508.313045247,15.362702056882416,8.721442
ELODIE,2451508.3255441445,31.362702056882416,8.590202
