instrumento,bjd,vrad,svrad
ELODIE,1423.4852198092267,41.26301305688183,9.868856
ELODIE,1423.4852198092267,45.466672354219995,10.0
COR,1431.7192759597674,-74.55899149298922,9.0
COR,1432.7086639609188,-7.558991492989219,12.0
COR,1433.671350910794,92.44100850701078,8.0
COR,1435.619720315095,-69.55899149298922,12.0
COR,1437.6415827106684,41.44100850701078,13.0
ELODIE,1438.4572659144178,-72.83704194311714,8.826514
ELODIE,1438.4572659144178,-74.53338264578043,9.0
COR,1438.6701612994075,-81.55899149298922,7.0
COR,1438.6823610323481,-86.55899149298922,7.0
HIRES,1438.813656266313,-81.2,3.4
HIRES-pre04,1438.813656266313,-76.43,1.776379
HIRES,1438.8136582663283,-75.1,4.5
HIRES,1438.8136582663283,-73.41,1.81
COR,1439.6568393353373,-11.558991492989218,10.0
COR,1439.6900385608897,-0.558991492989219,8.0
COR,1443.6645358237438,47.44100850701078,10.0
COR,1443.6762354834937,50.44100850701078,10.0
COR,1447.6548103629611,117.44100850701078,13.0
COR,1447.6664099614136,89.44100850701078,13.0
COR,1459.646803950891,-71.55899149298922,13.0
COR,1459.6584033635445,-51.55899149298922,15.0
COR,1463.5706982277334,-97.55899149298922,12.0
COR,1463.5822975905612,-75.55899149298922,11.0
COR,1464.5508439391851,53.44100850701078,9.0
COR,1464.5624432903714,33.44100850701078,9.0
COR,1465.6188834868371,83.44100850701078,11.0
COR,1465.6304828170687,45.44100850701078,12.0
ELODIE,1466.3877392294817,-72.5334846457804,9.0
ELODIE,1466.3877392294817,-78.53714394311784,9.069432
ELODIE,1467.3620820972137,-73.53714794311738,10.211603
ELODIE,1467.3620820972137,-67.53348864577994,10.0
COR,1480.5938077033497,-67.55899149298922,13.0
COR,1481.5313394432887,-51.55899149298922,9.0
COR,1484.5918113430962,-87.55899149298922,13.0
COR,1484.603410455864,-109.55899149298922,12.0
COR,1487.525385758374,-24.558991492989218,11.0
COR,1487.5369848506525,-43.55899149298922,11.0
COR,1488.5187079180032,-43.55899149298922,12.0
COR,1488.5303070023656,-107.55899149298922,10.0
COR,1494.545621628873,-36.55899149298922,10.0
COR,1497.5309730260633,35.44100850701078,10.0
COR,1497.5476716142148,49.44100850701078,7.0
COR,1497.5642702076584,16.441008507010782,12.0
COR,1497.5758692240342,65.44100850701078,13.0
COR,1497.5874682399444,40.44100850701078,15.0
ELODIE,1507.3488295972347,81.36270605688195,10.616363
ELODIE,1507.3488295972347,81.46636535421975,11.0
ELODIE,1508.2206533644348,16.362703056882754,8.29991
ELODIE,1508.2334522432648,21.362703056882754,8.468092
ELODIE,1508.246651086025,27.362703056882754,9.666208
ELODIE,1508.259049997665,12.362703056882754,8.958163
ELODIE,1508.2716488908045,21.362703056882754,8.496838
ELODIE,1508.284047800582,18.362703056882754,8.627824
ELODIE,1508.296646691393,15.362702056882416,8.685366
ELODIE,1508.3130452469923,15.362702056882416,8.721442
ELODIE,1508.3255441444926,31.362702056882416,8.590202
ELODIE,1508.3380430410616,34.36270205688241,8.818255
ELODIE,1508.350441946648,26.362702056882416,8.878512
ELODIE,1508.3629408413544,16.362702056882416,9.129307
ELODIE,1508.375639718026,-8.637297943117584,9.32622
ELODIE,1508.390938364435,-31.637297943117584,9.78874
ELODIE,1508.403537248727,-24.637297943117584,9.368384
ELODIE,1509.2540627475828,-88.63730094311678,8.458457
ELODIE,1509.266661638394,-95.63730094311678,8.584827
ELODIE,1509.2951591261663,-80.63730094311678,9.06785
ELODIE,1509.3080579871312,-91.63730094311678,9.008619
ELODIE,1509.3372554061934,-89.63730094311678,9.368151
ELODIE,1509.3497542995028,-82.63730094311678,9.484408
ELODIE,1509.3759519779123,-90.63730094311678,9.753123
ELODIE,1509.3924505147152,-104.63730194311712,10.552073
ELODIE,1509.4051493871957,-72.63730194311712,9.73179
ELODIE,1510.3161693960428,28.362695056881865,8.976205
ELODIE,1510.3286682888865,28.362695056881865,8.938185
ELODIE,1510.3642651312985,20.362695056881865,9.390655
ELODIE,1510.3766640299,29.362695056881865,10.14104
ELODIE,1510.3891629190184,28.362695056881865,10.519802
ELODIE,1510.4016618076712,38.36269505688186,9.800929
ELODIE,1510.4174604024738,34.36269505688186,10.631035
ELODIE,1511.3404792151414,63.362691056882326,11.152397
ELODIE,1511.3539780154824,58.362691056882326,10.36675
ELODIE,1541.223516998347,-93.23741794311674,13.586515
ELODIE,1542.2479359987192,52.76257805688191,16.212533
HIRES-pre04,1543.686830516439,-13.58,1.815251
HIRES,1543.686833516229,-14.72,1.82
HIRES,1543.6873234775849,-4.4,5.8
HIRES-pre04,1543.690869199112,-11.59,1.811578
HIRES,1543.6908731986769,-10.31,1.79
HIRES,1543.6913231634535,7.2,6.2
HIRES,1550.688419322949,-31.06,1.53
HIRES-pre04,1550.6884243222885,-30.58,1.550131
HIRES,1550.6887992951088,-13.1,5.8
HIRES,1550.6927990033291,-21.9,5.7
HIRES,1550.6928190020844,-31.48,1.76
HIRES-pre04,1550.6928220014088,-31.06,1.818355
HIRES,1551.693317559082,-86.4,3.8
HIRES,1551.693317559082,-81.68,1.99
HIRES-pre04,1551.693317559082,-84.02,1.8938
HIRES,1551.6937275296077,-69.8,6.4
HIRES,1551.698477187194,-78.32,1.55
HIRES-pre04,1551.6984791872092,-77.79,1.504456
HIRES,1551.6984791872092,-80.2,2.9
HIRES,1551.6987271690741,-61.8,5.9
HIRES-pre04,1552.7004225826822,41.63,1.966319
HIRES,1552.7004225826822,39.2,3.9
HIRES,1552.7004265827127,42.83,2.0
HIRES,1552.7006565667689,59.6,6.3
HIRES,1679.1058564628474,-25.73,1.64
HIRES-pre04,1679.1058604633436,-27.76,1.694866
HIRES,1679.1058604633436,-32.6,3.5
HIRES,1679.106286498718,-30.1,4.4
HIRES,1703.1223295014352,-72.9,4.1
HIRES-pre04,1703.1224865149707,-75.02,1.665061
HIRES,1703.1224865149707,-79.8,3.5
HIRES,1703.1224895152263,-75.29,1.73
HIRES,1704.0990027571097,14.53,1.58
HIRES,1704.0990057573654,8.9,3.1
HIRES-pre04,1704.0990057573654,13.69,1.571313
HIRES,1704.0994127923623,17.7,3.8
HIRES,1705.1064984439872,81.4,4.4
HIRES,1705.1068884772249,81.56,1.79
HIRES,1705.106892477721,76.1,4.1
HIRES-pre04,1705.106892477721,80.93,1.990224
HIRES,1706.1035830150358,-41.1,4.7
HIRES-pre04,1706.1039790487848,-38.36,1.734269
HIRES,1706.1039790487848,-43.2,3.5
HIRES,1706.103983049281,-38.92,1.66
HIRES,1707.1096680988558,-49.5,4.1
HIRES-pre04,1707.1097351042554,-49.04,1.780043
HIRES,1707.1097351042554,-53.9,3.6
HIRES,1707.1097381049767,-48.77,1.75
HAMILTON,1733.8182052895427,-89.27,4.5
HAMILTON,1733.8182082897983,10.41,8.916533
HAMILTON,1733.8269959059544,-18.22,3.89
HAMILTON,1733.8269979059696,13.09,7.194626
HAMILTON,1733.8377366582863,-11.46,3.66
HAMILTON,1733.8377406587824,12.62,6.771976
HAMILTON,1733.8465272737667,-17.84,3.77
HAMILTON,1733.8465302735567,2.03,7.370326
HAMILTON,1733.8543438203633,4.77,6.645802
HAMILTON,1733.8543478208594,-23.1,3.4
HAMILTON,1733.863133434672,8.27,7.42375
HAMILTON,1733.8631384349428,24.03,4.06
HAMILTON,1733.8719190484844,0.0,4.03
HAMILTON,1733.8719230485149,13.55,7.647273
HAMILTON,1733.8807096616365,17.57,4.37
HAMILTON,1733.8807126618922,3.08,7.431465
HAMILTON,1733.8885262063704,2.98,9.038444
HAMILTON,1733.8885302068666,-7.04,4.63
HAMILTON,1733.896338751074,5.61,6.727155
HAMILTON,1733.8963407510892,-5.72,3.57
HAMILTON,1733.905128362123,17.63,7.021865
HAMILTON,1733.9051313628443,16.98,3.6
HAMILTON,1733.9129419056699,20.98,6.682835
HAMILTON,1733.9129419056699,22.17,3.45
HAMILTON,1733.9217315162532,27.54,6.119292
HAMILTON,1733.921732516028,-0.97,3.32
HAMILTON,1733.929543058388,66.84,3.56
HAMILTON,1733.9295440581627,25.08,6.085068
HAMILTON,1733.9383336678147,16.95,6.325372
HAMILTON,1733.9383336678147,31.52,3.33
HAMILTON,1733.9461442087777,43.68,3.12
HAMILTON,1733.9461472090334,5.09,6.279991
HAMILTON,1733.9549348168075,27.13,2.88
HAMILTON,1733.9549368168227,-16.9,5.825688
HAMILTON,1733.9637254248373,-26.06,3.35
HAMILTON,1733.963726424612,-31.13,6.07786
HAMILTON,1733.9715359639376,-1.83,3.1
HAMILTON,1733.9715389641933,-36.19,5.898805
HAMILTON,1733.9803265701048,-72.7,3.41
HAMILTON,1733.9803285705857,-37.98,7.022248
HAMILTON,1733.9871650417335,-46.74,6.080713
HAMILTON,1733.9871670417488,-37.11,3.31
HAMILTON,1733.9939975123852,-41.95,3.27
HAMILTON,1733.9940015128814,-44.29,6.019102
HAMILTON,1750.9003057666123,61.22,9.91423
HAMILTON,1750.9003077666275,242.0,5.53
HAMILTON,1751.9120768192224,-56.7,8.012754
HAMILTON,1751.912079819478,125.49,4.97
HAMILTON,1752.8857577834278,-62.14,9.220145
HAMILTON,1752.8857587832026,110.91,5.19
HIRES,1754.9800003059208,39.0,4.3
HIRES-pre04,1754.9802783187479,32.64,1.525226
HIRES,1754.9802783187479,27.1,3.0
HIRES,1754.980280318763,32.4,1.51
HIRES,1755.0240023816004,29.6,3.7
HIRES,1755.0244324021041,24.49,1.61
HIRES-pre04,1755.0244354023598,25.43,1.594719
HIRES-pre04,1755.029701649677,20.78,1.664018
HIRES,1755.0297026494518,19.48,1.61
HIRES,1755.0300026633777,22.4,4.6
HIRES,1755.046003412921,25.1,3.8
HIRES-pre04,1755.04638043046,28.86,1.589856
HIRES,1755.04638343025,27.79,1.55
HIRES,1755.0580039727502,56.8,4.2
HIRES-pre04,1755.0581519799307,49.09,1.447827
HIRES,1755.058153979946,48.23,1.57
HIRES-pre04,1755.0725506502204,52.45,1.51398
HIRES,1755.0725546502508,53.09,1.67
HIRES,1755.0730046713725,55.2,3.9
HIRES,1755.0790049503557,48.7,3.8
HIRES-pre04,1755.0793339656666,51.3,1.397286
HIRES,1755.079334965907,50.12,1.49
HIRES,1755.084005182609,42.5,3.5
HIRES,1755.084435202647,43.85,1.46
HIRES-pre04,1755.0844382029027,45.96,1.393591
HIRES-pre04,1755.0898434533738,36.72,1.564453
HIRES,1755.089845453389,36.58,1.6
HIRES,1755.090005460661,37.3,4.1
HIRES,1755.0950056924485,33.4,3.8
HIRES,1755.095405710861,31.21,1.55
HIRES-pre04,1755.095410711132,33.93,1.459544
HIRES,1755.1009659683332,15.82,1.51
HIRES-pre04,1755.100966968108,15.53,1.662047
HIRES,1755.1010059700347,18.2,3.8
HIRES,1755.106006200891,10.4,4.2
HIRES-pre04,1755.1064532222226,6.8,1.337943
HIRES,1755.1064562220126,6.99,1.44
HIRES,1755.1120064784773,0.0,3.9
HIRES-pre04,1755.1124024968594,-5.0,1.572563
HIRES,1755.11240649689,-6.47,1.54
HIRES,1755.1180067551322,-8.4,4.2
HIRES-pre04,1755.1180967595428,-8.05,1.475399
HIRES,1755.1180967595428,-8.15,1.39
HIRES,1755.1230069855228,-19.3,4.2
HIRES-pre04,1755.1234450060874,-19.76,1.604203
HIRES,1755.1234470061027,-18.7,1.64
HIRES-pre04,1755.1287452504039,-29.05,1.424526
HIRES,1755.128747250419,-29.96,1.41
HIRES,1755.1290072621778,-28.9,4.2
HIRES,1755.1340074925683,-30.6,4.0
HIRES-pre04,1755.1344055105,-34.02,1.584719
HIRES,1755.1344075105153,-33.99,1.54
HIRES-pre04,1755.9767827582546,-76.28,1.781412
HIRES,1755.9767827582546,-81.9,3.5
HIRES,1755.976786758285,-78.25,1.67
HIRES,1755.9770467705093,-71.5,4.5
HAMILTON,1774.8455229084939,245.53,4.18
HAMILTON,1774.84552690899,41.08,8.924911
HAMILTON,1775.8816808015108,39.1,9.158642
HAMILTON,1775.8816838013008,235.77,4.51
ELODIE,1781.5135905784555,-13.638297943117788,9.290144
ELODIE,1781.5278907371685,-19.638297943117788,9.624876
ELODIE,1782.4835009030066,100.36169805688267,13.041476
COR,1782.77460364718,101.44100850701078,11.0
COR,1782.7865037522279,81.44100850701078,11.0
ELODIE,1783.5023102620617,-26.63830594311686,12.925709
COR,1783.628211243078,-56.55899149298922,11.0
ELODIE,1784.5027179731987,-48.63830894311788,19.306984
COR,1784.6820191442966,-40.55899149298922,13.0
COR,1785.6175247593783,60.44100850701078,12.0
COR,1785.629224827513,112.44100850701078,11.0
ELODIE,1786.4899289235473,67.36168305688305,12.961647
ELODIE,1786.5039289775304,95.36168305688305,22.171446
COR,1786.698529677,26.441008507010782,8.0
COR,1786.710229718592,36.44100850701078,8.0
ELODIE,1789.5303343776613,93.06167205688187,11.572163
COR,1789.7175342175178,82.44100850701078,7.0
COR,1790.6518329032697,-26.558991492989218,10.0
COR,1791.644630085677,-59.55899149298922,9.0
HIRES,1792.7968250340782,73.2,5.0
HIRES,1792.7969130333513,77.1,3.8
HIRES-pre04,1792.7969130333513,82.33,1.988636
HIRES,1792.7969150333665,79.17,1.86
COR,1793.6439200043678,52.44100850701078,14.0
COR,1795.6034044069238,-11.558991492989218,12.0
ELODIE,1804.3735660696402,12.761618056882515,9.746143
ELODIE,1804.386965776328,2.761618056882514,9.641008
ELODIE,1804.3994655022398,8.761618056882515,9.820427
ELODIE,1804.4120652237907,45.76161805688251,10.230454
ELODIE,1804.4246649444103,46.76161805688251,11.118252
ELODIE,1804.4372646631673,26.761618056882515,13.088236
ELODIE,1804.4507643613033,11.761618056882515,10.920972
ELODIE,1804.4637640686706,-4.238381943117486,10.710673
ELODIE,1804.476363784168,-18.238381943117485,11.01975
ELODIE,1804.488763502799,-33.23838294311783,11.516276
ELODIE,1804.5014632134698,-45.23838294311783,11.46806
ELODIE,1804.514062925242,-13.238382943117823,12.172606
ELODIE,1804.5266626360826,-15.238382943117823,12.584591
ELODIE,1804.5390623505227,-24.238382943117823,12.971259
